item,part_number,revision,description,quantity,unit,material,category,make_buy,manufacturing_process,file_name
1,"IV-OVN-1001","A","Oven side panel",2,"EA","Stainless steel 1.4301","Housing","make","laser-cut-and-bend","IV_OVN_SIDE.par"
2,"IV-OVN-1002","A","Oven top and bottom panel",2,"EA","Stainless steel 1.4301","Housing","make","laser-cut-and-bend","IV_OVN_TOP.par"
3,"IV-OVN-1003","A","Oven back panel",1,"EA","Galvanized steel","Housing","make","laser-cut-and-bend","IV_OVN_BACK.par"
4,"IV-OVN-2001","A","Insulated front door",1,"EA","Stainless steel / glass","Door module","make","assembly","IV_OVN_DOOR.par"
5,"IV-OVN-2002","A","Door handle",1,"EA","Anodized aluminium","Door module","buy","extrusion","IV_OVN_HANDLE.par"
6,"IV-OVN-3001","A","Control fascia",1,"EA","Brushed stainless steel","Controls","make","laser-cut-and-bend","IV_OVN_CONTROL.par"
7,"IV-OVN-3002","A","Control knob",2,"EA","PA6 GF30","Controls","buy","injection-moulded","IV_OVN_KNOB.par"
8,"IV-OVN-4001","A","Reusable cooking rack",2,"EA","Chrome-plated steel","Cooking chamber","make","wire-forming","IV_OVN_RACK.par"
9,"IV-OVN-5001","A","Adjustable appliance foot",4,"EA","PA6 / steel","Purchased hardware","buy","purchased","IV_OVN_FOOT.par"
10,"IV-OVN-6001","A","Heating element representation",2,"EA","Incoloy 800","Heating","buy","purchased","IV_OVN_HEATER.par"
11,"IV-OVN-9001","A","InnovaVento nameplate",1,"EA","Anodized aluminium","Branding","buy","laser-etched","IV_OVN_NAMEPLATE.par"
