item,part_number,revision,description,quantity,unit,file_name
1,"IV-OVN-1001","A","Oven side panel",16,"EA","IV_OVN_SIDE.par"
2,"IV-OVN-1002","A","Oven top and bottom panel",16,"EA","IV_OVN_TOP.par"
3,"IV-OVN-1003","A","Oven back panel",8,"EA","IV_OVN_BACK.par"
4,"IV-OVN-2001","A","Insulated front door",8,"EA","IV_OVN_DOOR.par"
5,"IV-OVN-2002","A","Door handle",8,"EA","IV_OVN_HANDLE.par"
6,"IV-OVN-3001","A","Control fascia",8,"EA","IV_OVN_CONTROL.par"
7,"IV-OVN-3002","A","Control knob",8,"EA","IV_OVN_KNOB.par"
8,"IV-OVN-4001","A","Reusable cooking rack",32,"EA","IV_OVN_RACK.par"
9,"IV-OVN-5001","A","Adjustable appliance foot",32,"EA","IV_OVN_FOOT.par"
10,"IV-OVN-6001","A","Heating element representation",16,"EA","IV_OVN_HEATER.par"
11,"IV-OVN-9001","A","InnovaVento nameplate",8,"EA","IV_OVN_NAMEPLATE.par"
